dag,algo,kind,label,seed,app_timeout_rate,task_timeout_rate,energy,delay_succ,delay_all,E_succ,E_all,UtilityScore_succ,UtilityScore_all,score,runtime_min,inference_time_ms,D_all_src,has_reeval,src_dir,mtime
chain,noshield,ablation,noshield,19,0.1066666666666666,0.698,0.1836645567411359,1.3448103729160663,1.3136727824022698,0.1831268815672534,0.1831268815672534,0.2339279621442768,0.2364932161605064,27.24576469935517,184.85,27.11318250780118,result.json,False,ablation_classic_chain_20260819_224120,2026-08-20 07:24
chain,noshield,ablation,noshield,42,0.06,0.6783333333333333,0.1980589787727934,1.2519314903788092,1.235379254802544,0.1980589787727934,0.1980589787727934,0.4657660144402895,0.4668956111933345,2.233680362998584,54.43,7.416805156826091,result.json,False,main_comparison_20260824_203442,2026-08-25 04:19
chain,DGMA_adapt,ext_rl,DGMA_adapt,1,0.14,0.7,0.2104714042961406,1.3985645554246826,1.3718803532312525,0.2104714042961406,0.2104714042961406,-0.0300925162668586,-0.0277673543170876,3382.5371981134767,231.89,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:54
chain,DGMA_adapt,ext_rl,DGMA_adapt,3,0.2,0.7576666666666667,0.2290914886433908,1.5986976181934294,1.5161404280076634,0.229355271037034,0.229355271037034,-0.4236513900176066,-0.4177258791552647,7223.585467490358,197.65,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:54
chain,DGMA_adapt,ext_rl,DGMA_adapt,5,0.1733333333333333,0.742,0.2053305399944333,1.5150730160576271,1.461787851989695,0.2053305399944333,0.2053305399944333,-0.2602867953417417,-0.2559494464005824,5338.682338378608,409.65,0.0,result.json,False,main_comparison_20260822_004654,2026-08-28 19:01
chain,DGMA_adapt,ext_rl,DGMA_adapt,7,0.0533333333333333,0.646,0.1989869814619677,1.2522215260069287,1.2357105123659593,0.1989869814619677,0.1989869814619677,0.500464826702785,0.5015433146343117,377.1900185174195,458.12,0.0,result.json,False,main_comparison_20260822_004654,2026-08-28 19:01
chain,DGMA_adapt,ext_rl,DGMA_adapt,42,0.0666666666666666,0.6793333333333333,0.1988786487180215,1.2530995523872357,1.2364356001325976,0.1988786487180215,0.1988786487180215,0.4325313096211892,0.4337119391602216,644.0096482318232,110.5,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:55
chain,DGMA_paper,ext_rl,DGMA_paper,1,1.0,0.9113333333333332,61.63349854618178,1.4797075910371302,1.5232752388425093,0.3013350469758592,0.3013350469758592,-0.5858507056606097,-0.5883405857113085,-0.7611155907652188,647.25,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:55
chain,DGMA_paper,ext_rl,DGMA_paper,3,1.0,0.932,62.22828507809936,1.5606461186047125,1.5968990715193905,0.3677588057552993,0.3677588057552993,-0.7186565798612178,-0.7201818437263573,-0.7630565087955781,296.52,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:55
chain,DGMA_paper,ext_rl,DGMA_paper,5,1.0,0.9663333333333334,62.38580343379704,1.6174039390549684,1.6153551393532637,0.3582501181063653,0.3582501181063653,-0.7351568336798431,-0.735074714072123,-0.7653673203281511,589.42,0.0,result.json,False,main_comparison_20260822_004654,2026-08-28 19:03
chain,DGMA_paper,ext_rl,DGMA_paper,7,1.0,0.8643333333333333,61.79831272138394,1.2981638398925186,1.5402327679785048,0.3741155672163297,0.3741155672163297,-0.7148508937473478,-0.72501880439008,-0.7583138836085312,510.42,0.0,result.json,False,main_comparison_20260822_004654,2026-08-28 19:03
chain,DGMA_paper,ext_rl,DGMA_paper,42,1.0,0.8796666666666667,58.06194543074782,1.3071024180313016,1.4992167092891833,0.3220745418575614,0.3220745418575614,-0.6613585416531795,-0.6706803475619812,-0.7551901664116678,196.32,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:55
chain,GATDQN,ext_rl,GATDQN,1,0.1266666666666666,0.7756666666666666,0.2252293411043277,1.4054466992125845,1.480802503643038,0.2730941906584032,0.2730941906584032,-0.5790760594638027,-0.5834274732869009,2724.8376490944856,47.29,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:56
chain,GATDQN,ext_rl,GATDQN,3,0.2133333333333333,0.762,0.2402581154807402,1.5829244754863416,1.5396037482334453,0.2754784813035419,0.2754784813035419,-0.5149179312068405,-0.5121362555929879,8272.078305044466,54.58,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:56
chain,GATDQN,ext_rl,GATDQN,5,0.18,0.742,0.2273926117121664,1.5175454253854466,1.4842127084159225,0.209890610968768,0.209890610968768,-0.4756502642167524,-0.4733979047638413,5782.939223380639,53.45,0.0,result.json,False,main_comparison_20260822_004654,2026-08-28 19:06
chain,GATDQN,ext_rl,GATDQN,7,0.2,0.7823333333333333,0.2120532860162453,1.3004777554460163,1.2773410179806008,0.1917913605799386,0.1917913605799386,0.3572785178473402,0.3590374260139383,7223.293243174382,53.67,0.0,result.json,False,main_comparison_20260822_004654,2026-08-28 19:07
chain,GATDQN,ext_rl,GATDQN,42,0.3266666666666666,0.7893333333333333,0.2493903185466159,1.3086138583720166,1.3389392714759076,0.2260580292771584,0.2260580292771584,-0.0241523692260193,-0.0267953096398259,20059.46290611413,57.44,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:57
chain,PPO,ext_rl,PPO,1,0.1266666666666666,0.6646666666666666,0.3289939060797539,1.3275787889904842,1.555529798165082,0.1896231676594846,0.1896231676594846,-0.6552139334608279,-0.6664117001431601,-1.0,16.1,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:54
