dag,reviewer,param_key,param_val,is_default,n_seeds,AppTO_mean_pct,AppTO_std_pct,D_all_mean,D_all_std,D_succ_mean,D_succ_std,Util_all_mean,Util_all_std,Util_succ_mean,Util_succ_std
default,R1-6,W_E,0p05,False,5,8.533333333333333,4.839651043435077,1.1879837002466493,0.10202673131228764,1.2172123661039775,0.12070016596000782,0.23605364295915027,0.3209728046401081,0.23366755282738652,0.3227854902137493
default,R1-6,W_E,0p1,False,5,9.066666666666666,5.090295778352286,1.1978413093530913,0.09440457420112935,1.2290764315522247,0.11392658912664466,0.22201301530516523,0.3377911460166763,0.21946414526289323,0.33914356007583124
default,R1-6,W_E,0p2,False,5,9.866666666666667,4.908043285148256,1.1944662128842791,0.09364717129889634,1.2268620115879811,0.11583830289697768,0.21581777610348601,0.3010958878430264,0.21312621588516914,0.30289469251406465
default,R1-6,W_E,0,False,5,8.933333333333334,6.370068898982001,1.1917971909062195,0.10154413101309541,1.217493487519037,0.11977603003365682,0.20476071734485143,0.36787320498578946,0.20265139298672027,0.3695634243942765
default,R1-6,W_D,0p05,False,5,7.866666666666666,5.914201364324501,1.1954640761094262,0.10788273046951653,1.221793957929837,0.12697882836320729,0.2614590550838211,0.33727134213172244,0.2593221393328184,0.33902743392432494
default,R1-6,W_D,0p1,False,5,8.799999999999999,5.9142013643245,1.195695364434762,0.10392239323082712,1.2210280672257567,0.12527205177439324,0.27016262703256577,0.3950455366553614,0.2681622212920236,0.39697255816239
default,R1-6,W_D,0p2,False,5,7.733333333333333,5.861361237422204,1.1904734910749055,0.10129462319964894,1.2183164554653474,0.12332336996283551,0.253965668547237,0.38936891692325487,0.2517396467510205,0.3913014705499151
default,R1-6,W_D,0p4,False,5,8.399999999999999,6.873459423350401,1.1922684650060127,0.10648731669786002,1.2200356150871383,0.1272033767978023,0.25533317280660095,0.35249986291182567,0.2530468266413609,0.35421259712383013
default,R1-6,W_D,0,False,5,7.733333333333333,5.304086474910957,1.1910100192523134,0.10674041486693571,1.2152111559630394,0.12371265888055981,0.34227956653926617,0.2860690618786914,0.3403249363386796,0.2877227092101574
chain,R1-6,SHIELD_THR_HIGH,1p05,False,5,6.800000000000001,5.278888771954442,1.3478686043612795,0.13652968663848036,1.3717704282289085,0.15126489851548922,0.3183290888750266,0.29638118847326406,0.31642012515032325,0.2975231257308166
chain,R1-6,SHIELD_THR_HIGH,1p15,False,5,8.666666666666668,6.616477747093069,1.3538175917451025,0.12603048921961238,1.3848044820685963,0.14904468331832194,0.22158628178335768,0.39256025150242807,0.21912010737067203,0.39466339247070936
chain,R1-6,SHIELD_THR_HIGH,1p1,False,5,7.466666666666668,5.585696017507577,1.35317599336551,0.13839942684597606,1.3828921136505223,0.16449626482974258,0.3236829689568732,0.3154236877174372,0.3212671482753934,0.3179776204350422
chain,R1-6,SHIELD_THR_HIGH,1p2,False,5,7.866666666666668,5.424225495148797,1.3529990167033819,0.13724527322970972,1.3791636916595784,0.15436890113400073,0.2729836901070727,0.3420049246994544,0.27086402333145443,0.34363015505416633
chain,R1-6,SHIELD_THR_HIGH,1,False,5,9.466666666666669,7.309050705955064,1.3503839370353963,0.13071249039573465,1.3804335668320182,0.15854157473039177,0.18950086910808,0.46949536683805837,0.18720261403260888,0.47178034493866444
default,R1-6,SHIELD_THR_HIGH,1p05,False,5,9.466666666666667,6.331578704311341,1.1884201942152657,0.10550568016795459,1.217991294701338,0.12874946652660138,0.18605463268434227,0.3919495673530528,0.18361746730510645,0.393909252460703
default,R1-6,SHIELD_THR_HIGH,1p15,False,5,8.399999999999999,6.508114592995083,1.1868467166511234,0.10046528553532458,1.2143322758397326,0.12031868912221327,0.3051189467047606,0.3088234860390305,0.3028695933246593,0.3105363764681156
default,R1-6,SHIELD_THR_HIGH,1p1,False,5,8.399999999999999,5.589673017667889,1.1880319867508484,0.0997635042724653,1.2146795255388045,0.119687925253603,0.27939447994425254,0.33019271495916663,0.27719564829294513,0.3318029630166129
default,R1-6,SHIELD_THR_HIGH,1p2,False,5,9.066666666666666,6.299911815961306,1.1925812694259648,0.10720599533339238,1.2215554336008119,0.12559193216683773,0.1839080615363154,0.3747119670830971,0.18154853267629997,0.37621522704622096
default,R1-6,SHIELD_THR_HIGH,1,False,5,8.0,5.57773351022717,1.1884045060475221,0.10663503931579286,1.2134888232480865,0.12071560648269904,0.2528853293959751,0.35267032895438877,0.250865514507623,0.3540743684945431
wide,R1-6,SHIELD_THR_HIGH,1p05,False,5,3.066666666666667,3.9888734137737583,0.44018682839114504,0.04311700908938948,0.43984675848927174,0.03756492083660436,0.6437037639916163,0.1314109179209991,0.6437037639916163,0.1314109179209991
wide,R1-6,SHIELD_THR_HIGH,1p15,False,5,2.6666666666666665,2.9439202887759492,0.44136085310192386,0.04550906577532507,0.43827779237855174,0.039173849906640225,0.6526465645576762,0.10436685070973388,0.6526465645576762,0.10436685070973388
wide,R1-6,SHIELD_THR_HIGH,1p1,False,5,2.5333333333333328,2.9589788028229527,0.4397301965415929,0.0458669015107899,0.43297138905730714,0.03300907311385672,0.6625344206334163,0.0937337635804749,0.6625344206334163,0.0937337635804749
wide,R1-6,SHIELD_THR_HIGH,1p2,False,5,2.2666666666666666,2.649947588580239,0.4410288333979525,0.042756958885067836,0.43396425603001676,0.0307972204749835,0.6626896852260906,0.08760067645559422,0.6626896852260906,0.08760067645559422
wide,R1-6,SHIELD_THR_HIGH,1,False,5,3.066666666666667,3.3862466931200785,0.4399631104338253,0.046060955605832274,0.43690271034724903,0.0421626663285559,0.6158958759723301,0.16176419335907086,0.6158958759723301,0.16176419335907086
chain,R1-6,SHIELD_THR_NORM,1p05,False,5,7.999999999999999,5.011098792790969,1.3529578362554278,0.14065150647893002,1.3826821769201625,0.16232707794014903,0.28658858333349113,0.32133028828339,0.28417614477573816,0.3233470856519212
chain,R1-6,SHIELD_THR_NORM,1p15,False,5,7.733333333333333,6.609757097570901,1.3527314898387777,0.13336429801046426,1.3785012259780285,0.1542266893941511,0.2973545373139117,0.3415523103426616,0.29526102780686003,0.3435057858822786
chain,R1-6,SHIELD_THR_NORM,1p1,False,5,8.000000000000002,5.395471352079548,1.3506979345729706,0.137736792181936,1.376365451287656,0.158406987631201,0.29686672965061883,0.3034409497036913,0.29475631164491395,0.3053382265899393
chain,R1-6,SHIELD_THR_NORM,1p2,False,5,6.266666666666667,5.668627111861684,1.350996857768735,0.13174602786684383,1.3762449517575015,0.15045285041786194,0.3578038691632524,0.3110558787120598,0.3557878282060806,0.31283286112532677
chain,R1-6,SHIELD_THR_NORM,1p3,False,5,8.4,4.844240566555987,1.3528221898799166,0.13642111980473018,1.3787422308372648,0.15329864594725495,0.2669341665786774,0.287627175983967,0.2648088980898084,0.2892170005502533
default,R1-6,SHIELD_THR_NORM,1p05,False,5,8.533333333333335,4.997777283731017,1.192740727606974,0.09533130998081814,1.217934065018317,0.1104431136765687,0.2773616387118859,0.29759931642482595,0.2753320102443676,0.2992574363055208
default,R1-6,SHIELD_THR_NORM,1p15,False,5,8.266666666666666,5.688194402053744,1.1918459666058276,0.10240989633464297,1.219372158352204,0.12222138254239426,0.31056358190964994,0.291694333863553,0.3083329695121198,0.29326434419674763
default,R1-6,SHIELD_THR_NORM,1p1,False,5,9.466666666666667,5.194013648208654,1.1899296413852807,0.10191769197730455,1.2182050101403914,0.11833623390022623,0.24245083398051387,0.24960796112593395,0.24010549966524347,0.2509690715842497
default,R1-6,SHIELD_THR_NORM,1p2,False,5,8.399999999999999,5.804213029247711,1.1917463556388959,0.10365545726237128,1.2164005387097014,0.11657522091553019,0.2682913611456793,0.294895345380221,0.26628756476562054,0.29607151957809125
default,R1-6,SHIELD_THR_NORM,1p3,False,5,8.4,5.5095876030385025,1.186958164033992,0.09954786582576117,1.214887599484973,0.11902779500572656,0.24173002797712773,0.3453131548229435,0.23941960046454583,0.3469448195467296
